Detect dans le texte;Nom du fichier;CIE_NAME;N° Contrat;N°POLEDI;NUM PERIODE;
True;MOLECULE_EURL___00001.pdf;GROUPAMA;7442/606984;;;Pas de correspondance
True;HUPSA_PFANNALA.pdf;GROUPAMA;7446/606898;;;Pas de correspondance
True;FISCHER_TELECOM_SAS___00001.pdf;GROUPAMA;7424/604704;7424/604704/1/61;5724211;
True;SFI___00001.pdf;GROUPAMA;7424/604744;;;Dans la base le numéro de contrat est '7423/604744/2/61
True;FISCHER_SAS___00002.pdf;GROUPAMA;7423/604973;7423/604973/2/61;5724289;
True;FIDUAL___00002.pdf;GROUPAMA;7423/607003;7423/607003/2/61;5724111;
True;AUBERGE_DE_LA_PAIX.pdf;GROUPAMA;7446/606883;60688300000;8763945;
True;FIDUAL___00001.pdf;GROUPAMA;7424/607003;7424/607003/1/61;5724112;
True;FISCHER_SAS___00001.pdf;GROUPAMA;7424/604973;7424/604973/1/61;5724290;
True;SFI___00002.pdf;GROUPAMA;7423/604744;7423/604744/2/61;5723899;
True;URSNIC.pdf;GROUPAMA;7446/606880;;;Pas de correspondance
True;MOLECULE_EURL___00002.pdf;GROUPAMA;7442/606984;;;Pas de correspondance
True;CAFE_AU_RAISIN___00001.pdf;GROUPAMA;7424/604900;;;Dans la base la forme est sans /
True;CAFE_AU_RAISIN___00002.pdf;GROUPAMA;7423/604900;;;Dans la base la forme est sans /
True;FISCHER_TELECOM_SAS___00002.pdf;GROUPAMA;7423/604704;7423/604704/2/61;5724210;
False;LISTE_COURRIERS_INDEXATION_2025.pdf;GROUPAMA;;;;
